Study_Hours,Attendance,Previous_Marks,Assignment_Scores,Result
8.2,94.8,92.4,66.7,1
7.1,70.7,66.9,58.7,1
7.3,70.1,99.5,98.8,1
7.7,87.9,35.2,37.8,1
0.7,79.0,68.8,57.8,0
3.6,82.1,97.9,97.9,1
1.2,87.7,66.6,90.6,0
8.6,93.4,74.1,87.2,1
6.2,60.3,78.7,48.1,1
3.3,62.5,61.8,42.0,0
0.6,45.6,73.9,76.8,0
3.1,74.7,70.9,95.1,0
3.3,42.2,93.1,69.0,0
7.3,67.9,33.2,70.0,0
6.4,72.6,49.7,49.6,1
8.9,57.2,96.5,83.9,1
4.7,75.4,92.3,43.1,1
1.2,41.8,61.9,52.7,0
7.1,42.2,73.4,59.8,0
7.6,89.4,49.4,65.5,1
5.6,61.6,43.2,47.0,0
7.7,47.6,62.5,38.0,0
4.9,71.3,54.7,72.7,1
5.2,86.2,70.9,50.2,1
4.3,52.9,35.4,70.7,0
0.3,77.4,98.2,40.8,0
1.1,45.1,99.0,63.7,0
0.3,43.1,78.9,67.3,0
6.4,71.9,67.5,33.6,0
3.1,72.4,51.7,53.6,0
5.1,78.2,87.0,39.4,1
9.1,83.6,77.9,34.4,1
2.5,98.6,41.4,99.3,0
4.1,71.0,93.8,52.6,0
7.6,59.4,87.6,86.7,1
2.3,87.7,96.5,47.8,0
0.8,56.2,80.8,77.7,0
2.9,66.3,72.9,83.2,0
1.6,44.7,59.3,71.7,0
9.3,41.5,95.3,63.0,1
8.1,97.8,90.6,58.8,1
6.3,90.2,33.2,54.4,1
8.7,81.8,31.8,95.1,1
8.0,64.5,56.4,88.1,1
1.9,50.4,86.7,97.6,0
8.9,49.4,99.1,38.7,1
5.4,55.0,40.5,81.2,0
8.1,73.0,71.6,95.7,1
9.0,82.9,56.7,42.7,1
3.2,79.6,97.9,34.7,0
1.1,56.8,88.9,81.9,0
2.3,97.3,88.7,70.2,1
4.3,84.3,62.8,88.9,0
8.2,73.3,59.0,39.8,1
8.6,76.7,49.1,85.7,1
0.1,65.2,33.9,44.1,0
5.1,54.9,90.5,41.5,0
4.2,61.4,86.9,41.5,0
2.2,85.5,100.0,87.0,0
1.2,40.9,99.8,76.6,0
3.4,47.0,68.9,66.6,0
9.4,42.8,83.8,55.1,1
3.2,42.4,96.1,91.4,1
5.2,91.3,89.5,57.5,1
7.0,82.2,47.3,87.2,1
3.6,68.5,61.5,60.7,0
9.7,45.9,39.0,56.4,1
9.6,69.5,96.8,62.4,1
2.5,68.4,72.4,51.1,0
5.0,50.4,46.0,82.3,1
3.0,66.0,77.0,65.2,0
2.8,63.9,73.3,46.3,0
0.4,77.0,55.1,93.0,0
6.1,78.1,37.9,56.9,0
5.0,42.7,77.0,68.0,1
0.5,62.5,66.4,93.5,0
2.8,77.6,84.1,73.7,1
9.1,70.2,66.4,38.2,1
2.4,91.4,89.7,95.8,1
1.4,79.5,68.6,73.9,0
4.9,49.8,69.3,53.4,0
9.9,44.2,91.4,39.7,1
2.4,78.5,58.2,85.6,0
6.7,41.6,39.4,73.4,0
7.6,75.1,32.0,67.3,0
2.4,96.4,82.9,92.6,1
7.3,74.5,73.4,85.2,1
3.7,63.3,79.3,40.6,0
6.3,78.6,44.9,51.8,0
6.3,67.5,39.5,47.4,0
5.4,72.7,31.0,82.1,0
0.9,96.5,54.5,32.3,0
8.4,63.2,71.3,69.9,1
3.2,97.7,57.5,83.4,1
1.9,94.3,60.6,91.4,0
0.4,51.7,93.3,53.9,0
5.9,44.2,54.4,87.5,0
6.8,46.0,66.0,37.7,0
0.2,41.1,84.9,89.3,0
5.1,45.7,57.8,38.9,0
2.3,81.0,73.5,57.8,0
6.5,44.3,90.4,85.8,0
1.7,59.1,96.5,40.5,0
6.9,90.7,40.3,46.0,0
3.9,41.4,94.9,80.6,0
9.4,88.9,64.4,80.4,1
1.4,56.9,48.1,74.9,0
3.4,47.1,62.1,78.6,0
1.1,81.8,98.6,68.0,0
9.2,77.7,64.5,47.6,1
8.8,92.6,53.0,54.2,1
2.6,84.1,74.3,42.7,0
6.6,88.2,46.8,93.6,1
8.2,56.9,35.3,70.8,0
5.6,50.6,39.0,58.1,0
5.3,85.0,39.0,62.3,1
2.4,88.4,40.6,96.3,0
0.9,99.4,39.7,40.7,0
9.0,64.8,74.9,71.0,1
9.0,62.3,42.7,65.4,1
6.3,86.6,54.2,72.8,1
3.4,60.4,92.8,31.3,0
3.5,95.8,63.2,91.0,0
7.3,91.5,76.7,95.2,1
9.0,65.7,42.1,69.6,1
8.9,85.1,43.5,78.8,1
7.8,85.3,32.9,94.6,1
